"battery","pcs","idx","ranking","equ_irr","peak_cut","construction_cost","project_irr"
300,50,1,1,"10.75"," 93.93","150412371.13","10.75"
300,75,2,2,"10.33"," 96.00","154020618.56","10.33"
300,100,3,3,"10.06","100.00","157628865.98","10.06"
600,100,18,4," 9.85","100.00","300824742.27"," 9.85"
1100,250,56,5," 9.20","177.76","561134020.62"," 9.20"
400,75,6,6," 8.95"," 96.00","201752577.32"," 8.95"
400,100,7,7," 8.76","100.00","205360824.74"," 8.76"
500,100,12,8," 7.91","100.00","253092783.51"," 7.91"
1000,250,47,9," 7.69","105.60","513402061.86"," 7.69"
700,100,24,10," 6.27","100.00","348556701.03"," 6.27"
