"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-05-06 12:15:00,1.58,79.15,100,1.22,0,0
2016-05-06 12:30:00,1.66,80.58,100,1.22,0,0
2016-05-06 12:45:00,1.73,81.72,100,1.22,0,0
2016-05-06 13:00:00,1.66,80.58,100,1.22,0,0
2016-05-06 13:15:00,2.16,88.78,100,1.12,0,0
2016-05-06 13:30:00,1.98,88.53,100,1.04,0,0
2016-05-06 13:45:00,1.84,87.06,100,1.04,0,0
2016-05-06 14:00:00,1.87,87.39,100,1.04,0,0
2016-05-06 14:15:00,1.91,87.82,100,1.04,0,0
2016-05-06 14:30:00,1.94,87.37,100,1.08,0,0
2016-05-06 14:45:00,1.91,87.05,100,1.08,0,0
2016-05-06 15:00:00,1.98,87.04,100,1.12,0,0
2016-05-06 15:15:00,1.87,84.37,100,1.19,0,0
2016-05-06 15:30:00,1.87,81.49,100,1.33,0,0
2016-05-06 15:45:00,1.8,79.57,100,1.37,0,0
2016-05-06 16:00:00,2.02,81.43,100,1.44,0,0
2016-05-06 16:15:00,1.84,78.75,100,1.44,0,0
2016-05-06 16:30:00,2.02,82.19,100,1.4,0,0
2016-05-06 16:45:00,1.94,79.51,100,1.48,0,0
2016-05-06 17:00:00,1.87,77.8,100,1.51,0,0
2016-05-06 17:15:00,1.48,68.36,100,1.58,0,0
2016-05-06 17:30:00,1.12,52.83,100,1.8,0,0
2016-05-06 17:45:00,0.76,36.97,100,1.91,0,0
2016-05-06 18:00:00,0.72,35.93,100,1.87,0,0
2016-05-06 18:15:00,0.68,34.17,100,1.87,0,0
2016-05-06 18:30:00,0.61,31.47,100,1.84,0,0
2016-05-06 18:45:00,0.65,33.96,100,1.8,0,0
2016-05-06 19:00:00,0.72,35.93,100,1.87,0,0
2016-05-06 19:15:00,0.72,36.44,100,1.84,0,0
2016-05-06 19:30:00,0.65,33.96,100,1.8,0,0
2016-05-06 19:45:00,0.61,32.75,100,1.76,0,0
2016-05-06 20:00:00,0.58,30.67,100,1.8,0,0
2016-05-06 20:15:00,0.68,35.34,100,1.8,0,0
2016-05-06 20:30:00,0.61,31.47,100,1.84,0,0
2016-05-06 20:45:00,0.65,32.83,100,1.87,0,0
2016-05-06 21:00:00,0.61,31.47,100,1.84,0,0
2016-05-06 21:15:00,0.65,32.83,100,1.87,0,0
2016-05-06 21:30:00,0.68,33.54,100,1.91,0,0
2016-05-06 21:45:00,0.61,31.01,100,1.87,0,0
2016-05-06 22:00:00,0.68,34.17,100,1.87,0,0
2016-05-06 22:15:00,0.61,31.01,100,1.87,0,0
2016-05-06 22:30:00,0.65,32.22,100,1.91,0,0
2016-05-06 22:45:00,0.65,32.22,100,1.91,0,0
