"time","usage","percent1","percent2","nonElect1","nonElect2","co"
2016-01-01 00:15:00,17.46,99.88,99.99,0.86,0.29,0.01
2016-01-01 00:30:00,18.29,99.99,99.46,0.25,1.91,0.01
2016-01-01 00:45:00,17.1,99.93,99.82,0.65,1.04,0.01
2016-01-01 01:00:00,18.07,99.57,100,1.69,0,0.01
2016-01-01 01:15:00,17.24,99.7,100,1.33,0.07,0.01
2016-01-01 01:30:00,18.43,99.7,100,1.44,0.11,0.01
2016-01-01 01:45:00,17.28,99.64,100,1.48,0.11,0.01
2016-01-01 02:00:00,16.31,99.86,99.97,0.86,0.43,0.01
2016-01-01 02:15:00,17.32,99.98,99.76,0.36,1.19,0.01
2016-01-01 02:30:00,16.81,99.98,99.67,0.32,1.37,0.01
2016-01-01 02:45:00,19.44,99.17,99.99,2.52,0.22,0.01
2016-01-01 03:00:00,17.96,99.52,100,1.76,0,0.01
2016-01-01 03:15:00,16.7,99.63,100,1.44,0.04,0.01
2016-01-01 03:30:00,18.36,99.72,100,1.37,0.07,0.01
2016-01-01 03:45:00,16.16,99.93,99.9,0.61,0.72,0.01
2016-01-01 04:00:00,19.55,99.22,99.99,2.45,0.32,0.01
2016-01-01 04:15:00,17.21,99.91,100,0.72,0.07,0.01
2016-01-01 04:30:00,16.81,99.64,100,1.44,0,0.01
2016-01-01 04:45:00,16.38,99.71,99.97,1.26,0.4,0.01
2016-01-01 05:00:00,15.98,99.92,99.87,0.65,0.83,0.01
2016-01-01 05:15:00,19.66,99.4,100,2.16,0.04,0.01
2016-01-01 05:30:00,14.87,99.96,99.77,0.4,1.01,0.01
2016-01-01 05:45:00,17.68,99.9,99.96,0.79,0.47,0.01
2016-01-01 06:00:00,17.96,99.98,99.58,0.36,1.66,0.01
2016-01-01 06:15:00,17.21,99.8,99.94,1.08,0.61,0.01
2016-01-01 06:30:00,20.12,99.43,100,2.16,0,0.01
2016-01-01 06:45:00,17.06,99.63,100,1.48,0.14,0.01
2016-01-01 07:00:00,16.2,99.88,99.98,0.79,0.32,0.01
2016-01-01 07:15:00,16.85,99.52,100,1.66,0.07,0.01
2016-01-01 07:30:00,16.45,99.95,99.81,0.54,1.01,0.01
2016-01-01 07:45:00,20.27,99.89,99.95,0.94,0.61,0.01
2016-01-01 08:00:00,16.92,99.93,99.87,0.65,0.86,0.01
2016-01-01 08:15:00,17.53,99.22,100,2.2,0,0.01
2016-01-01 08:30:00,16.85,99.41,100,1.84,0.04,0.01
