"equ_irr","peak_cut","battery","construction_cost","pcs","project_irr","idx","ranking"
8.9388,242.479999999999,800,417938144.329897,250,8.93881724578634,31,1
8.6966,250,900,465670103.092784,250,8.69662471649846,39,2
8.3613,250,1000,513402061.85567,250,8.36134887600395,47,3
8.1113,100,300,157628865.979381,100,8.11127934673666,3,4
8.0747,250,1100,561134020.618557,250,8.07470790064082,56,5
7.5889,100,600,300824742.268041,100,7.58886841167834,18,6
6.9362,75,300,154020618.556701,75,6.93617541308633,2,7
6.899,100,400,205360824.742268,100,6.89899257817725,7,8
6.0977,100,500,253092783.505155,100,6.09771944506678,12,9
5.9167,75,400,201752577.319588,75,5.91668470500295,6,10
